"","Year","State","type","production","Measures","Avg","Chemical","Materials","Value"
"1",2019,"CALIFORNIA","","ACRES HARVESTED",""," ","  "," ",35400
"2",2019,"CALIFORNIA","","ACRES PLANTED",""," ","  "," ",36000
"3",2019,"CALIFORNIA","","PRODUCTION","MEASURED IN $"," ","  "," ",2221320000
"4",2019,"CALIFORNIA","","PRODUCTION","MEASURED IN CWT"," ","  "," ",20500000
"5",2019,"CALIFORNIA","","YIELD","MEASURED IN CWT / ACRE"," ","  "," ",580
"6",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (AZOXYSTROBIN = 128810)",5500
"7",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (BLAD = 30006)",1200
"8",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (BORAX DECAHYDRATE = 11102)",300
"9",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (BOSCALID = 128008)",6200
"10",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (CAPTAN = 81301)",283500
"11",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (CYFLUFENAMID = 555550)",400
"12",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (CYPRODINIL = 288202)",16600
"13",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (DIFENOCONAZOLE = 128847)",900
"14",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (FENHEXAMID = 90209)",15000
"15",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (FLUDIOXONIL = 71503)",11100
"16",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (FLUOPYRAM = 80302)",3900
"17",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (FLUXAPYROXAD = 138009)",3900
"18",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (FOSETYL-AL = 123301)",34200
"19",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (MEFENOXAM = 113502)",9300
"20",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (MYCLOBUTANIL = 128857)",5600
"21",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (PENTHIOPYRAD = 90112)",7000
"22",2019,"CALIFORNIA"," BEARING ","APPLICATIONS","MEASURED IN LB"," ","  FUNGICIDE"," (POLYOXIN D ZINC SALT = 230000)",1400
